D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
TEXT_TOOLTIP_AUXILIA_WEAP3,2x Light Dual Ion Cannons: 2 / 2.5s / 5.1km
TEXT_TOOLTIP_AUXILIA_WEAP4,2x Concussion Missiles: 1 / 10.0s / 4.1km
TEXT_TOOLTIP_AV7,A light, self-propelled artillery unit that saw extensive GAR use. Later guns in the series used a towed configuration, but this model uses a combination of repulsorlifts and legs for mobility and stability while firing.
TEXT_TOOLTIP_AV7_COMPANY,Company: 1x AV-7 Antivehicle Cannon
TEXT_TOOLTIP_AV7_HEALTH,Health: 50 (Heavy Vehicle)
TEXT_TOOLTIP_AV7_MOVE,Speed: 1.0 | Turn: 1.0 
TEXT_TOOLTIP_AV7_WEAP1,1x Artillery Cannon: 1 / 8.333s / 1440m
TEXT_TOOLTIP_BAYONET,An outdated Sienar light cruiser released shortly after the end of the Clone Wars. The design was never as popular as rival designs from Kuat and Damorian or even Sienar's venerable Marauder Cruiser line and was eventually supplanted by Kuat's Vigil Corvette. Despite its obsolesence, the Bayonet can still provide decent fire support against cruisers and fighers alike. 
TEXT_TOOLTIP_BAYONET_HULL,Hull: 800 (Frigate)
TEXT_TOOLTIP_BAYONET_MOVE,Speed: 3.0 | Accel: 0.175 | Turn: 0.3
TEXT_TOOLTIP_BAYONET_SHIELD,Shields: 752 (12.5R) (Frigate)
TEXT_TOOLTIP_BAYONET_WEAP1,4x Heavy Turbolasers: 2 / 5.0s / 7.1km
TEXT_TOOLTIP_BAYONET_WEAP2,1x Medium Laser Cannon: 2 / 0.85s / 4.1km
TEXT_TOOLTIP_BELBULLAB22,Fighter created by the Techno Union in preparation for the Clone Wars to serve as a bulkier and hardier support and escort element within CIS fighter groups. Famously used in a modified form by General Grievous as his personal starfighter, the design had mild continuity among mercenary groups, Force users and resistance cells afterwards.
TEXT_TOOLTIP_BELBULLAB23,Variant Belbullab design that acts as a heavy assault craft. Armed with heavier weaponry, it is well suited to engage Republic fighters such as the ARC-170, but is more rarely sighted compared to the more standard fighter and bomber Belbullab starfighters.
TEXT_TOOLTIP_BELBULLAB24,Derivative of the Belbullab design spun into an average-performance bomber. Used as a more individually powerful asset compared to swarms of lighter droid bombers, and remained more popular with holdouts and small cells afterwards due to the pilotable nature. At least one instance was taken by Imperial forces for study.
TEXT_TOOLTIP_BENJO,Benjo, also known as ST-1-2 is one of the original members of Alpha Squadron. Benjo previously flew under the command of Villian Dance as his right panelman and second-in-command. Dance later defected to the Rebel Alliance, at which time Benjo unofficially took command of Alpha Squadron due to his rank. Despite the betrayal of his previous squadron leader, Benjo kept his call sign and still admires Dance for their piloting skill witnessed during their mission in the Horuz system.
TEXT_TOOLTIP_BRAK_FIGHTERS_RESEARCH,Upgrade the aging fighters of the Brak Sector Fleet with newer, more powerful models procured from Sienar despite ongoing difficulties. Phases out Cloakshape, Warpod, TIE/ln and TIE/gt fighters, pushes V-Wings and ARC-170s into support roles, and adds various TIE Interceptor, TIE Advanced and TIE Avenger models to serve as top-end models. Due to the situation in the galaxy, this process will be expensive and time consuming, but Admiral Trier assures us that it will be worth it.
TEXT_TOOLTIP_BRELLAR,Alecs Brellar served as captain of the Onslaught. He was sent to Bakura to bring the system under Imperial control, and later presented Wilek Nereus with the official badges of office as Bakura's governor, amid anti-Imperial protests.
TEXT_TOOLTIP_BTLA2_Y_WING,Early model of Y-wing tuned more towards a multirole fighter than assault bomber role. Reduced shield strength provides an increase in engine power and the weapon loadout is optimized for both its combat role and control by a single pilot. This variant lacks even the fixed-forward ions that later attempts at the concept will include.
TEXT_TOOLTIP_BUILDLIMIT_A6,Build Limit: 2 | Total: ∞
TEXT_TOOLTIP_BUILDLIMIT_BISCUIT_BARON,Build Limit: 1 | Total: ∞
TEXT_TOOLTIP_BUILDLIMIT_DARK_JEDI,Build Limit: 5 | Total: ∞
TEXT_TOOLTIP_BUILDLIMIT_DASTA_TRADE_STATION,Build Limit: 1 | Total: 30
TEXT_TOOLTIP_BUILDLIMIT_RED_POLICE,Build Limit: 5 | Total: ∞
TEXT_TOOLTIP_BUILDLIMIT_ROYAL_GUARD,Build Limit: 5 | Total: ∞
TEXT_TOOLTIP_BUILDLIMIT_SHADOW_EVO,Build Limit: 5 | Total: ∞
TEXT_TOOLTIP_BUILDLIMIT_SITH_KNIGHT,Build Limit: 5 | Total: ∞
TEXT_TOOLTIP_CAPITAL_TF_WEAP1,4x Medium Turbolasers: 2 / 2.0s / 6.2km
TEXT_TOOLTIP_CAPITAL_TF_WEAP3,3x Medium Dual Laser Cannons: 2 / 0.75s / 4.2km
TEXT_TOOLTIP_CAPITAL_TF_WEAP5,3x Proton Torpedoes: 2 / 5.0s / 5.2km
TEXT_TOOLTIP_CAPITAL_TF1,TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF2,Missile TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF3,Upgunned TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF4,Ion Refit TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF5,TIE Oppressor Squadron: 2 / 10
TEXT_TOOLTIP_CAPITAL_TF6,Raider-I Corvette: 4 / 0
TEXT_TOOLTIP_CAPITAL_TF7,Raider-II Corvette: 4 / 0
TEXT_TOOLTIP_CAPITAL_TF8,Procursator Star Destroyer: 2 / 0
TEXT_TOOLTIP_CAPITAL_TF9,Victory-II Star Destroyer: 2 / 0
TEXT_TOOLTIP_CARRACK_ZETA,A variant of the common Carrack-Class Frigate utilized by the Kaarenth Dissension. It features an advanced Ion cannon in addition to its stock turbolaser armament and is an excellent raiding and ambush vessel.
TEXT_TOOLTIP_CARRACK_ZETA_WEAP1,1x Ultraheavy Ion Cannon: 1 / 5.0s / 8.4km
TEXT_TOOLTIP_CEX,A Srrors'tok male who lived as a merchant with his family on Sellasas during the Galactic Civil War. His family was killed shortly after the Battle of Yavin, when the Rebel Alliance initiated a brutal siege of the planet's Imperial garrison, igniting a deep hatred for the Rebellion in him. Cex' life was saved by Amara Jedselk, daughter of the Imperial Governor of Sellasas, and he swore a life debt to her in return. Following the end of the siege, Tyionsis Cex became a bounty hunter under the patronage of Governor Jedselk, intent on repaying his debt to his new family.
TEXT_TOOLTIP_CLASS_C,An unremarkable military escort vessel produced prior to the Clone Wars, carrying design lineages of both blocky escorts and sleeker triangular warships that would make up the Kuati product line in the decades to come. Predecessor to the Pelta and Nebulon series of vessels, it fills a similar tactical purpose to both as a multirole escort effective against a variety of target types.
TEXT_TOOLTIP_CLASS_C_HULL,Hull: 1100 (Frigate)
TEXT_TOOLTIP_CLASS_C_MOVE,Speed: 3.5 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_CLASS_C_PD,Point-Defense: 1 / 0.31s / 1.5km
TEXT_TOOLTIP_CLASS_C_SHIELD,Shields: 900 / [15.75/R] (Frigate)
TEXT_TOOLTIP_CLASS_C_SQUADRON,Fighters: 0.5 / 1 | Bombers: 0.5 / 0
TEXT_TOOLTIP_CLASS_C_WEAP1,2x Light Turbolasers: 2 / 2.5s / 5.1km
TEXT_TOOLTIP_CLASS_C_WEAP2,2x Medium Rapid Laser Cannons: 6 / 1.25s / 3.6km
TEXT_TOOLTIP_CLONE_P2_COMMANDER_HEALTH,Health: 200 (Infantry)
TEXT_TOOLTIP_CLONE_P2_COMPANY,Company: 36x Republic Surplus Troopers
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP1,10x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP2,10x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP3,2x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP4,6x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP5,4x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP6,4x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP7,4x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP8,4x Ion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_P2_HEALTH,Health: 20 (Infantry)
TEXT_TOOLTIP_CLONE_P2_LT_HEALTH,Health: 33 (Infantry)
TEXT_TOOLTIP_CLONE_P2_MOVE,Speed: 1.1
TEXT_TOOLTIP_CLONE_P2_SGT_HEALTH,Health: 23 (Infantry)
TEXT_TOOLTIP_CLONE_P2_SQUAD,Squad: 9x Clone Trooper (P2)
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP1,5x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP2,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP3,2x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP4,2x Ion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP1,5x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP2,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP3,1x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP4,2x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP5,2x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_WEAP1,1x DC-15A Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_WEAP2,1x DC-15S Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_CLONE_WEAP3,1x Light Z-6 Blaster Cannon: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_WEAP4,1x Heavy Z-6 Blaster Cannon: 5 / 1.0s / 280m
TEXT_TOOLTIP_CLONE_WEAP5,1x RPS-6 Rocket Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_CLONE_WEAP6,1x PLX-1 Rocket Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_CLONE_WEAP7,1x T-21 Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_WEAP8,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_WEAP9,1x Ion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONETROOPER_PHASETWO,Imperial hardliners that have joined Devian's cause to restore the true Empire. They are well equipped with old Republic armor gathered on RZ7, and more fanataical than most other soldiers. They wear a mix of the old Phase I and more comfortable Phase II armor.
TEXT_TOOLTIP_COMMAND_ACROPORA,Tector Star Destroyer, Acropora
TEXT_TOOLTIP_COMMAND_ALPHA_SQUADRON,TIE Fighter, Alpha Squadron
TEXT_TOOLTIP_COMMAND_GURNST,Commands: Elite Mercenary Platoon Taskforce Bravo
TEXT_TOOLTIP_COMMAND_HSSISSK_SQUADRON,Zssisk Strike Squadron
TEXT_TOOLTIP_COMMAND_MAHKKAR,Interceptor I-class Frigate
TEXT_TOOLTIP_COMMAND_MAHLER,Imperial-II Star Destroyer, Mahler
TEXT_TOOLTIP_COMMAND_ONSLAUGHT,Imperial-I Star Destroyer, Onslaught
TEXT_TOOLTIP_COMMAND_PRAETORIAN_SQUADRON,Royal Guard Interceptor, Praetorian Squadron
TEXT_TOOLTIP_COMMAND_PUNISHER,Imperial-I Star Destroyer (Carrier), Punisher
TEXT_TOOLTIP_COMMAND_REBUKE,Acclamator-I Supercruiser, Rebuke
TEXT_TOOLTIP_COMMAND_RECKONING,Imperial-II Star Destroyer, Reckoning
TEXT_TOOLTIP_COMMAND_RED_STAR_SQUADRON,Modified TIE Defender, Red Star Squadron
TEXT_TOOLTIP_COMMAND_RINTONNES_FLAME,Bayonet Light Cruiser, Rintonne's Flame
TEXT_TOOLTIP_COMMAND_SITHSPAWN,Modified Belbullab-22, Sithspawn
TEXT_TOOLTIP_COMMAND_T11,Super Transport VII Garbage Scowl
TEXT_TOOLTIP_COMMAND_THETA_SQUADRON,TIE Bomber, Theta Squadron
TEXT_TOOLTIP_COMMAND_YARNAR_SQUADRON,Missile TIE Fighter, Celanon Garrison Squadron
TEXT_TOOLTIP_CONSULAR_HULL,Hull: 550 (Corvette)
TEXT_TOOLTIP_CONSULAR_MOVE,Speed: 6.65 | Accel: 0.25 | Turn: 0.65
TEXT_TOOLTIP_CONSULAR_REFIT,A common armed configuration for the Consular cruiser, equipped with turbolasers and missiles to engage other large ships rather than emphasizing a fighter screening role.
TEXT_TOOLTIP_CONSULAR_REFIT_WEAP1,4x Light Turbolasers: 1 / 5.0s / 5.0km
TEXT_TOOLTIP_CONSULAR_REFIT_WEAP2,1x Assault Concussion Missile: 2 / 10.0s / 7.0km
TEXT_TOOLTIP_CONSULAR_SHIELD,Shields: 400 / [8/R] (Corvette)
TEXT_TOOLTIP_CORONA_RESEARCH_KUAT, Research the Corona Frigate. Replaces the Nebulon B and Nebulon B Tender with the Corona Frigate and Tender.
TEXT_TOOLTIP_CORONA_TENDER,Fleet Tender: 50 / 1.0s / 1.4km
TEXT_TOOLTIP_CORONA_TENDER_DESC,A support-focused variant of the Corona-class frigate equipped with advanced repair and resupply systems. Trading much of the ships hangar capacity and firepower for fleet tending capabilities, it serves as an effective logistical support vessel during prolonged engagements.
TEXT_TOOLTIP_CORONA_TENDER_PD,Point-Defense: 1 / 0.35 / 1.4km
TEXT_TOOLTIP_CORONA_TENDER_SHIELD,Shields: 700 / [16/R] (Frigate)
TEXT_TOOLTIP_CORONA_TENDER_WEAP2,1x Light Turbolaser: 2 / 5.0s / 5.1km
TEXT_TOOLTIP_CORONA_TENDER_WEAP3,1x Light Ion Cannon: 2 / 5.0s / 5.1km
TEXT_TOOLTIP_CORONA_TENDER_WEAP4,1x Medium Rapid Laser Cannon: 6 / 1.33s / 3.6km
TEXT_TOOLTIP_CORONA_TENDER_WEAP5,1x Light Rapid Laser Cannon: 6 / 1.75s / 3.1km
TEXT_TOOLTIP_COYOTE_BOMBER,This wartime direct upgrade to an older Droid Bomber design spun off from the Vulture series. Employed by the Trade Federation in the subjugation of its corporate interests, and would fly under CIS colors when the Trade Federation pledged its military to the Separatists. It is similar to its peer the Hyena Bomber in role and power, swarming enemy capital ships to cripple or eliminate them while pushing through Republic fighter forces. Unusually for the size and design it is equipped with a weak shield, though it does make other performance sacrifices in comparison.
TEXT_TOOLTIP_DIAMOND,A Commerce Guild transport and cruiser fitted with a respectable number of laser batteries. It is often used as a fast and secure courier vessel by ranking corporate individuals. Serves as an anti-fighter screen in fleet engagements.
TEXT_TOOLTIP_DIAMOND_HULL,Hull: 900 (Frigate)
TEXT_TOOLTIP_DIAMOND_MOVE,Speed: 5.6 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_DIAMOND_PD,Point-Defense: 1 / 0.21s / 1.5km
TEXT_TOOLTIP_DIAMOND_SHIELD,Shields: 900 / [18/R] (Frigate)
TEXT_TOOLTIP_DIAMOND_WEAP1,1x Medium Dual Laser Cannon: 2 / 1.67s / 4.1km
TEXT_TOOLTIP_DIAMOND_WEAP2,4x Medium Rapid Laser Cannons: 6 / 1.67s / 3.6km
TEXT_TOOLTIP_DOMINA_TAGGE,The youngest child of Sanya Tagge, Domina was sent away by her oldest brother Orman at a young age to shield her from galactic politics, but during the Galactic Civil War she was nonetheless drawn into TaggeCo's machinations, eventually seeking revenge on both Darth Vader and Luke Skywalker after the death of Orman and Silas Tagge. Following the Battle of Endor, Domina took the title of Baroness Tagge and largely retreated from galactic affairs, vanishing at an unspecified later date under mysterious circumstances.
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_UPGRADE,Upgrade: Dreadnaught Carrier
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_UPGRADEABLE,Refits a PDF Dreadnaught with respectable hangars while still maintaining armament near the stock levels.
TEXT_TOOLTIP_DREADNAUGHT_I,One of the many conversions of the ubiquitous Dreadnaught-Class hull to adapt it for a specialized purpose once it was no longer a prime frontline combatant. This version rearranges most of the interior space to fit a single gravity field generator into the hull, safely tucked away behind heavier armor plating than most other interdictors of the time. The huge power draw of the gravity field generator however requires the main armament and shield coverage to be scaled down, though the vessel is still capable of fending off smaller corvettes and gunships that try to knock out its interdiction field.
TEXT_TOOLTIP_DREADNAUGHT_I_HULL,Hull: 1900 (Heavy Frigate)
TEXT_TOOLTIP_DREADNAUGHT_I_SHIELD,Shields: 2150 / [21.5/R] (Frigate)
TEXT_TOOLTIP_DREADNAUGHT_I_SQUADRON,Fighters: 0.5 / 0.5
TEXT_TOOLTIP_DREADNAUGHT_I_WEAP1,2x Light Dual Turbolasers: 2 / 4.0s / 5.1km
TEXT_TOOLTIP_DREADNAUGHT_I_WEAP2,3x Medium Laser Cannons: 2 / 0.75s / 4.1km
TEXT_TOOLTIP_DREADNAUGHT_I_WEAP3,2x Light Quad Laser Cannons: 2 / 0.5s / 3.6km
TEXT_TOOLTIP_ESCORT_GURNST1,1x Elite Mercenary Platoon
TEXT_TOOLTIP_ESCORT_SHARAOR,2x Corporate Security Trooper Squad
TEXT_TOOLTIP_ESCORT_THORN,2x Royal Guard Stormtrooper Squad
TEXT_TOOLTIP_ETA2,A Kuat-designed interceptor that shares traits with the Sienar TIE line. Its stripped-down defenses allow for very impressive flight performance at the cost of durability, with weapon systems that allow it to excel against heavier fighters.
TEXT_TOOLTIP_ETA2_ASSAULT,Extremely rare variant of the Eta-2 that replaces the ion cannons with ordinance launchers loaded with assault concussion missiles. This variant would most notably be utilized by Anakin Skywalker during the Battle of Belderone to great effect.
TEXT_TOOLTIP_ETA2_DEFENSIVE,Variant of the Eta-2 introduced at some point after the stock model equipped with light shields and a reinforced hull for added survivability. Although unpopular at first, this variant performed extremely well during the Battle of Coruscant which helped give it a more positive reputation. Though popular among many pilots, the additions add cost and are detrimental to the highly tuned performance of the engines.
TEXT_TOOLTIP_ETA2_MANEUVER,The first variant of the Eta-2, introduced just a few months after the stock model. The High Maneuver variant is equipped with a stripped down hull to allow for the already impressive maneuverability to be greatly improved. Due to the nature of the modifications, this variant is less durable than other Eta-2 models.
TEXT_TOOLTIP_ETA2_MISSILE,Uncommon variant of the Eta-2 that replaces the ion cannons with anti-fighter concussion missile launchers. Fighters of this type could be seen being flown by Clone Pilots during the Clone Wars throughout the end of the war, notably at Mygeeto, Kashyyyk and Felucia.
TEXT_TOOLTIP_FAUX_STORMTROOPER,Mercenaries or soldiers from other branches of the Imperial military wearing salvaged or stolen Stormtrooper armor for intimidation or legitimacy. While the armor itself has its benefits, wearing it without undergoing the grueling training and conditioning of the Stormtrooper program does not make a soldier a real Stormtrooper. As a result, these troopers are merely expensive line infantry, often used for ceremonial, enforcement or bodyguard duties and propaganda rather than open warfare.
TEXT_TOOLTIP_FAUX_STORMTROOPER_COMPANY,Company: 1x Stormtrooper Sergeant, 55x Faux Stormtrooper
TEXT_TOOLTIP_FAUX_STORMTROOPER_COMPANY_WEAP1,55x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_FAUX_STORMTROOPER_COMPANY_WEAP2,1x T-21 Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_FAUX_STORMTROOPER_COMPANY_WEAP3,8x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_FAUX_STORMTROOPER_HEALTH,Health: 16 (Infantry)
TEXT_TOOLTIP_FAUX_STORMTROOPER_SERGEANT_HEALTH,Health: 20 (Infantry)
TEXT_TOOLTIP_FAUX_STORMTROOPER_SQUAD_1,Squad: 1x Stormtrooper Sergeant, 13x Faux Stormtrooper
TEXT_TOOLTIP_FAUX_STORMTROOPER_SQUAD_2,Squad: 14x Faux Stormtrooper
TEXT_TOOLTIP_FAUX_STORMTROOPER_SQUAD_WEAP1_1A,13x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_FAUX_STORMTROOPER_SQUAD_WEAP1_1B,1x T-21 Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_FAUX_STORMTROOPER_SQUAD_WEAP1_2,14x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_GAT,The Ground Armored Tank served as a shielded fast attack platform early in the war, often in opposition to the comparable Saber tanks. Due to losses and poor direct performance against loyalist assets, the design ceased production relatively quickly into the war in favour of Techno Union alternatives.
TEXT_TOOLTIP_GAT_COMPANY,Company: 4x GAT
TEXT_TOOLTIP_GAT_HEALTH,Health: 100 (Medium Vehicle)
TEXT_TOOLTIP_GAT_MOVE,Speed: 2.0 | Turn: 6.0
TEXT_TOOLTIP_GAT_SHIELD,Shields: 50 / [6/R] (Light Vehicle)
TEXT_TOOLTIP_GAT_WEAP1,1x AV Blaster Cannon: 2 / 2.0s / 320m
TEXT_TOOLTIP_GAT_WEAP2,1x Proton Missile: 1 / 10.0s / 320m
TEXT_TOOLTIP_GPA_RESEARCH,Using our domestic developments, replace our TIE Fighters with General-Purpose Attack Fighters.
TEXT_TOOLTIP_GRONN_UPGRADE,Upgrade: Mandator-III
TEXT_TOOLTIP_GRUNGER_UPGRADE,Upgrade: Executor
TEXT_TOOLTIP_GURNST,Colonel of the mercenary company known as Taskforce Bravo. While not loyal to any particular ideology, he was hired by the Empire to help suppress Wookiee revolts on Kashyyyk.
TEXT_TOOLTIP_GURNST_HEALTH,Health: 150 (Hero)
TEXT_TOOLTIP_GURNST_MOVE,Speed: 1.2
TEXT_TOOLTIP_GURNST_SHIELD,Shields: 30 / (2%s) (Infantry)
TEXT_TOOLTIP_H60,A predecessor design to the famous B-wing of the Rebellion, the Tempest bomber was designed in the waning years of the Republic. Its design contained promise but it was heavily flawed and unpopular due to its limitations and its strange design compared to the Galactic standard. Despite this unpopularity, Tempests would see some service during its life in less wealthy navies where something is better than nothing.
TEXT_TOOLTIP_HAET,Heavy aerial gunboat developed for the Outer Rim Sieges to serve as armored reconnaissance and a counterpart to more fragile LAAT models for air support. Suited to soak enemy fire or engage a variety of targets.
TEXT_TOOLTIP_HAET_COMPANY,Company: 1x HAET-221
TEXT_TOOLTIP_HAET_HEALTH,Health: 350 (Heavy Speeder)
TEXT_TOOLTIP_HAET_MOVE,Speed: 3.0 | Turn: 4.0
TEXT_TOOLTIP_HAET_SHIELD,Shields: 100 / [5/R] (Speeder)
TEXT_TOOLTIP_HAET_WEAP1,1x Heavy AV Blaster Cannon: 1 / 3.0s / 480m
TEXT_TOOLTIP_HAET_WEAP2,6x AI Blaster Cannons: 5 / 2.5s / 400m
TEXT_TOOLTIP_HAG,The Heavy Artillery Gun was a Trade Federation artillery piece first used during the invasion of Naboo. After the formation of the CIS it became the primary indirect fire artillery for the Confederacy.
TEXT_TOOLTIP_HAG_COMPANY,Company: 1x HAG-M
TEXT_TOOLTIP_HAG_HEALTH,Health: 100 (Medium Vehicle)
TEXT_TOOLTIP_HAG_MOVE,Speed: 1.0 | Turn: 2.0 
TEXT_TOOLTIP_HAG_WEAP1,1x Artillery Cannon: 1 / 8.333s / 1440m
TEXT_TOOLTIP_HAG_WEAP2,2x AI Blaster Cannons: 2 / 3.0s / 240m
TEXT_TOOLTIP_HORNET,A large carrier developed by the SoroSuub Corporation in the years before the Clone Wars. Twin command towers allow the Hornet to efficiently direct starfighter operations of large fleets, a feature that would later appear on several Kuat Drive Yards ship designs. Despite its classification as a carrier, the armament allows it to serve as a passible heavy frigate.
TEXT_TOOLTIP_HORNET_HULL,Hull: 2090 (Frigate)
TEXT_TOOLTIP_HORNET_MOVE,Speed: 2.0 | Accel: 0.03 | Turn: 0.25
TEXT_TOOLTIP_HORNET_SHIELD,Shields: 2000 / [20.0/R] (Frigate)
TEXT_TOOLTIP_HORNET_SQUADRON,Fighters: 3 / 3 | Bombers: 2 / 2
TEXT_TOOLTIP_HORNET_WEAP1,2x Medium Turbolasers: 2 / 5.0s / 6.0km
TEXT_TOOLTIP_HORNET_WEAP2,2x Light Dual Turbolasers: 2 / 1.25s / 5.0km
TEXT_TOOLTIP_HORNET_WEAP3,1x Heavy Dual Laser Cannon: 2 / 2.5s / 4.5km
TEXT_TOOLTIP_HORNET_WEAP4,2x Light Dual Laser Cannons: 2 / 1.0s / 3.5km
TEXT_TOOLTIP_HORNET_WEAP5,2x Concussion Missiles: 6 / 15.0s / 4.0km
TEXT_TOOLTIP_HSSISSK,Hssissk is a member of the "Zssik Clan", a small Trandoshan family relegated to minor slaving duties by the ruling clan of Kashyyyk, the Blackscales. Stationed originally outside of the city of Kachirho of Kashyyyk, Hssissk would arrange the transfer of captured Wookiee slaves to the Blackscale Avatar Platform. For a while, Hsssissk has had his eyes set on overthrowing the Blackscale clan and taking over the planet of Kashyyyk for his own family.
TEXT_TOOLTIP_INCOME_BISCUIT_BARON,Credit Income: +20%
TEXT_TOOLTIP_IRAN_RYAD,Countess Iran Ryad was a human politician who used her wealth and influence to indulge her interest in starfighters and eventually used her connections to take up pilot training. Following the events at Endor, Ryad would requisition a TIE Defender to serve as her personal starfighter 'Red Star 1' and modify its capabilities and appearance. In time, Ryad became a starfighter ace and would form her own squadron, known as Red Star Squadron, which went on to hunt any starships that entered Imperial space without permission; her actions led to her being accused of treason and eventually defeated by Soontir Fel.
TEXT_TOOLTIP_IRRV,Dimone Irrv was the ranking TaggeCo representative on Goroth Prime. A competent manager and administrator by all accounts, she was also more than capable of engaging in corporate maneuvering, making her one of the most noteworthy managers in the employ of the Tagge Family.
TEXT_TOOLTIP_JAEFFIS,Admiral Jaeffis was an officer in the Imperial Navy and the commander in charge of defending the Corellian shipyards from New Republic attack, before being superseded by Admiral Roek.
TEXT_TOOLTIP_JUGGERNAUT_A4_COMPANY,Company: 1x A4 Juggernaut
TEXT_TOOLTIP_KILE_HANNAD,Kile Hannad was a Imperial Royal Guardsmen who served under the Empire. Like other Royal Guards, Kile was trained at the Imperial Royal Guard Academy on Yinchorr where he partook in extensive training in the deadly arts. Trained in the use of many common and exotic weapons and martial arts, Kile found he preferred to use his concealed heavy blaster pistol in a pinch. During Kile's service, he found himself working alongside the likes of Kir Kanos.
TEXT_TOOLTIP_KILE_HANNAD_HEALTH,Health: 160 (Hero)
TEXT_TOOLTIP_KILE_HANNAD_MOVE,Speed: 1.1
TEXT_TOOLTIP_KILE_HANNAD_WEAP1,1x SE-14 Pistol: 2 / 1.5s / 220m
TEXT_TOOLTIP_KLEMP,Klemp was an Imperial Officer of low rank, despite this he became one of the leaders of the Restored Empire by 13 ABY. He complimented Kir Kanos during his visit to RZ7-6113-23 which caused General Vota to rebuke him.
TEXT_TOOLTIP_KLUCREHULK_RESEARCH,Take inspiration from the old Confederacy and uparm your Lucrehulks into formidible warships. Locks Lucrehulk Auxiliary Warship. Enables Lucrehulk Battlecarrier and Lucrehulk Battleship.
TEXT_TOOLTIP_KPREYBIRD_PRODUCTION,Begin putting the Preybird schematics illegally acquired by Kiara Schmog into production. This upgrade will replace all previous instances of the Drexl with Preybirds and all previous instances of Z-95s with Drexls.
